train_ids,valid_ids,test_ids
25-591,25-593,25-581
25-400,25-678,25-398
25-383,25-702,25-631
25-34,25-338,25-446
25-416,25-428,25-190
25-614,25-30,25-331
25-113,25-571,25-455
25-758,25-569,25-498
25-31,25-592,25-739
25-276,25-211,25-736
25-621,25-43,25-144
25-374,25-727,25-514
25-109,25-314,25-528
25-300,25-450,25-156
25-635,25-183,25-368
25-252,25-55,25-35
25-718,25-203,25-9
25-112,25-163,25-28
25-453,25-104,25-703
25-526,25-459,25-37
25-734,25-661,25-44
25-74,25-744,25-373
25-420,25-693,25-587
25-430,25-150,25-103
25-403,25-615,25-424
25-181,25-705,25-257
25-530,25-610,25-685
25-659,25-376,25-404
25-662,25-660,25-332
25-680,25-396,25-724
25-292,25-142,25-381
25-750,25-174,25-679
25-95,25-683,25-226
25-513,25-84,25-508
25-749,25-529,25-539
25-20,25-687,25-676
25-311,25-148,25-759
25-449,25-655,25-688
25-24,25-250,25-394
25-372,25-86,25-147
25-713,25-277,25-562
25-663,25-65,25-90
25-69,25-91,25-541
25-78,25-561,25-158
25-473,25-485,25-137
25-307,25-4,25-198
25-741,25-533,25-330
25-298,25-495,25-657
25-412,25-364,25-7
25-618,25-151,25-220
25-134,25-619,25-544
25-761,25-157,25-80
25-628,25-670,25-393
25-747,25-542,25-87
25-579,25-344,25-469
25-570,25-527,25-511
25-623,25-279,25-634
25-122,25-255,25-721
25-26,25-584,25-613
25-135,25-609,25-62
25-73,25-477,25-108
25-728,25-565,25-415
25-596,25-388,25-200
25-238,25-351,25-210
25-5,25-762,25-308
25-444,25-509,25-559
25-517,25-76,25-576
25-748,25-299,25-506
25-502,25-191,25-681
25-629,25-560,25-472
25-732,25-746,25-474
25-601,25-431,25-120
25-72,25-725,25-605
25-451,25-395,25-440
25-159,25-379,25-333
25-96,25-160,25-106
25-384,25-638,25-647
25-410,25-505,25-701
25-36,25-272,25-665
25-715,25-282,25-650
25-755,,25-706
25-712,,25-195
25-377,,25-594
25-164,,25-152
25-138,,25-128
25-240,,25-510
25-321,,25-707
25-567,,25-82
25-710,,25-177
25-671,,25-149
25-39,,25-611
25-733,,25-711
25-682,,25-471
25-740,,25-574
25-182,,25-620
25-595,,25-667
25-448,,25-77
25-580,,25-405
25-129,,25-556
25-233,,25-380
25-360,,25-548
25-27,,
25-42,,
25-686,,
25-227,,
25-92,,
25-102,,
25-334,,
25-358,,
25-53,,
25-515,,
25-507,,
25-699,,
25-329,,
25-603,,
25-145,,
25-582,,
25-694,,
25-664,,
25-488,,
25-669,,
25-704,,
25-729,,
25-720,,
25-549,,
25-278,,
25-543,,
25-489,,
25-696,,
25-57,,
25-79,,
25-41,,
25-719,,
25-639,,
25-575,,
25-50,,
25-622,,
25-386,,
25-573,,
25-118,,
25-519,,
25-462,,
25-572,,
25-81,,
25-88,,
25-604,,
25-578,,
25-140,,
25-349,,
25-731,,
25-709,,
25-751,,
25-433,,
25-355,,
25-327,,
25-644,,
25-397,,
25-382,,
25-486,,
25-322,,
25-263,,
25-558,,
25-23,,
25-583,,
25-442,,
25-117,,
25-270,,
25-651,,
25-760,,
25-447,,
25-726,,
25-12,,
25-597,,
25-399,,
25-284,,
25-254,,
25-439,,
25-251,,
25-123,,
25-714,,
25-763,,
25-600,,
25-525,,
25-212,,
25-130,,
25-636,,
25-730,,
25-577,,
25-743,,
25-497,,
25-512,,
25-409,,
25-178,,
25-67,,
25-407,,
25-518,,
25-482,,
25-49,,
25-645,,
25-468,,
25-232,,
25-684,,
25-14,,
25-408,,
25-652,,
25-538,,
25-371,,
25-52,,
25-568,,
25-392,,
25-239,,
25-285,,
25-165,,
25-438,,
25-427,,
25-173,,
25-476,,
25-557,,
25-33,,
25-545,,
25-668,,
25-98,,
25-535,,
25-654,,
25-71,,
25-155,,
25-162,,
25-141,,
25-491,,
25-139,,
25-534,,
25-312,,
25-313,,
25-217,,
25-60,,
25-297,,
25-490,,
25-689,,
25-566,,
25-366,,
25-161,,
25-343,,
25-89,,
25-184,,
25-342,,
25-363,,
25-61,,
25-481,,
25-499,,
25-436,,
25-359,,
25-199,,
25-249,,
25-216,,
25-1,,
25-658,,
25-757,,
25-350,,
25-411,,
25-523,,
25-445,,
25-437,,
25-54,,
25-722,,
25-503,,
25-484,,
25-648,,
25-339,,
25-101,,
25-466,,
25-328,,
25-46,,
25-58,,
25-111,,
25-602,,
25-653,,
25-646,,
25-75,,
25-269,,
25-406,,
25-467,,
25-554,,
25-286,,
25-612,,
25-256,,
25-588,,
25-540,,
25-352,,
25-387,,
25-756,,
25-385,,
25-563,,
25-492,,
25-742,,
25-153,,
25-475,,
25-110,,
25-68,,
25-202,,
25-735,,
25-119,,
25-520,,
25-677,,
25-367,,
25-496,,
25-708,,
25-317,,
25-114,,
25-124,,
25-443,,
25-470,,
25-698,,
25-564,,
25-640,,
25-271,,
25-649,,
25-452,,
25-97,,
25-375,,
25-422,,
25-213,,
